지점,지점명,일자,평균기온,강수량,평균풍속,최심신적설,평균전운량
108,서울,2019-08-14,30.4,,1.5,,4
108,서울,2019-08-15,25.9,16.2,1.3,,9.1
108,서울,2019-08-16,25.9,.1,2.2,,6.3
108,서울,2019-08-17,25.9,0,2.5,,5
108,서울,2019-08-18,25.6,,1.7,,4.5
108,서울,2019-08-19,26.3,,1.1,,4.6
108,서울,2019-08-20,28.2,,1.5,,2.6
108,서울,2019-08-21,27,1.3,1.2,,7.6
108,서울,2019-08-22,26.9,,1.7,,6.3
108,서울,2019-08-23,26.2,,2.1,,4.4
108,서울,2019-08-24,24.1,,1.5,,5.5
108,서울,2019-08-25,25,,1.5,,3.4
108,서울,2019-08-26,26.4,,1.2,,6.4
108,서울,2019-08-27,25.7,20,1,,8.1
108,서울,2019-08-28,26.1,,1.9,,5.9
108,서울,2019-08-29,23.4,36.9,2.2,,5.6
108,서울,2019-08-30,22.6,.2,2.4,,5.3
108,서울,2019-08-31,23.5,,1.9,,2.3
108,서울,2019-09-01,23.7,,1.4,,6.1
108,서울,2019-09-02,24.4,,1.6,,6.1
108,서울,2019-09-03,24.1,0,2.3,,8.5
108,서울,2019-09-04,22.8,22.7,2.5,,9.3
108,서울,2019-09-05,23,36.4,2,,9
108,서울,2019-09-06,25.3,2.4,2.1,,10
108,서울,2019-09-07,25.7,2.8,6,,10
108,서울,2019-09-08,24.7,0,1.9,,9.3
108,서울,2019-09-09,25.1,0,1.7,,9.3
108,서울,2019-09-10,23.8,63.2,2.4,,9.8
108,서울,2019-09-11,24.3,7.6,3.1,,7.9
108,서울,2019-09-12,21,3.9,2.6,,9.8
108,서울,2019-09-13,23.3,.1,1.7,,4.3
108,서울,2019-09-14,22.4,.3,1.2,,8.8
108,서울,2019-09-15,24.2,,1.7,,5.5
108,서울,2019-09-16,24.5,,2.1,,3.6
108,서울,2019-09-17,23.5,,2.1,,6.4
108,서울,2019-09-18,21,,3.1,,1.1
108,서울,2019-09-19,19.5,,1.9,,3.5
108,서울,2019-09-20,19.6,,2.1,,9.4
108,서울,2019-09-21,19.6,,2,,9.6
108,서울,2019-09-22,18.6,.4,3.8,,9.4
108,서울,2019-09-23,20,,2.2,,3.1
108,서울,2019-09-24,19.8,,1.8,,0
108,서울,2019-09-25,20.9,,1.4,,5.9
108,서울,2019-09-26,22.9,,1.9,,8.4
108,서울,2019-09-27,22.9,,1.9,,8.6
108,서울,2019-09-28,23.7,,1.7,,3.8
108,서울,2019-09-29,22.6,,1.7,,.3
108,서울,2019-09-30,22.4,,1.6,,0
108,서울,2019-10-01,23.1,,1.8,,6.8
108,서울,2019-10-02,21.6,23.1,3,,9.9
108,서울,2019-10-03,22.4,4.6,2.8,,6.3
108,서울,2019-10-04,22.4,,2.1,,3.6
108,서울,2019-10-05,18.7,.6,2.9,,7
108,서울,2019-10-06,18.1,,2.9,,6.1
108,서울,2019-10-07,14.8,25.4,1.8,,9.5
108,서울,2019-10-08,14.7,,2.6,,2.6
108,서울,2019-10-09,13.6,,1.7,,1.9
108,서울,2019-10-10,15.2,,1.3,,9
108,서울,2019-10-11,18.8,,1.9,,.9
108,서울,2019-10-12,17.9,,3.5,,.6
108,서울,2019-10-13,17.2,,1.9,,2.1
108,서울,2019-10-14,14.4,,2.5,,1.9
108,서울,2019-10-15,14.5,,1.6,,3
108,서울,2019-10-16,14.6,,1.6,,5.3
108,서울,2019-10-17,15.4,,1.7,,4.8
108,서울,2019-10-18,17,,2.4,,7.1
108,서울,2019-10-19,17,,1.8,,.8
108,서울,2019-10-20,16.5,,1.3,,.6
108,서울,2019-10-21,17.1,,1,,2.1
108,서울,2019-10-22,18.1,,1.6,,4.4
108,서울,2019-10-23,17,,2.4,,8
108,서울,2019-10-24,18.3,,2.7,,4.5
108,서울,2019-10-25,16.7,0,2.4,,6.6
108,서울,2019-10-26,10,,2.5,,2.3
108,서울,2019-10-27,11,,1.6,,.9
108,서울,2019-10-28,12.9,1.7,2.5,,5.6
108,서울,2019-10-29,12.5,.1,2.3,,1.6
108,서울,2019-10-30,11.2,,1.6,,.3
108,서울,2019-10-31,14.8,,2.3,,4.6
108,서울,2019-11-01,14.9,,1.8,,1.9
108,서울,2019-11-02,13.6,,1.5,,8.1
108,서울,2019-11-03,14.7,,2.1,,4
108,서울,2019-11-04,13.8,,2.1,,0
108,서울,2019-11-05,12.4,,1.6,,1.4
108,서울,2019-11-06,11,,1.8,,5
108,서울,2019-11-07,9.2,,2.7,,1.6
108,서울,2019-11-08,6.8,,1.9,,0
108,서울,2019-11-09,9.5,,1.6,,.3
108,서울,2019-11-10,10,11.8,2.1,,8.9
108,서울,2019-11-11,11.2,1.1,2.4,,5.9
108,서울,2019-11-12,9.3,,1.4,,3.6
108,서울,2019-11-13,7.2,7.5,2.8,,8.5
108,서울,2019-11-14,1.3,,2.9,,1
108,서울,2019-11-15,5.6,18.8,2,,8.1
108,서울,2019-11-16,6.8,,1.6,,5.5
108,서울,2019-11-17,8.3,21.1,3.1,,9.3
108,서울,2019-11-18,4.6,14.7,3.9,,7.1
108,서울,2019-11-19,.2,0,2.8,,1.4
108,서울,2019-11-20,.5,,1.8,,0
108,서울,2019-11-21,4.2,,1.9,,6.1
108,서울,2019-11-22,9.7,,2.1,,1.4
108,서울,2019-11-23,12.1,,1.8,,6.1
108,서울,2019-11-24,9.8,3.8,2.2,,7.1
108,서울,2019-11-25,1.9,,2.7,,4.4
108,서울,2019-11-26,6.6,,2,,3.9
108,서울,2019-11-27,3.1,,2.7,,4
108,서울,2019-11-28,3.5,,2,,1.8
108,서울,2019-11-29,1.5,,2,,.9
108,서울,2019-11-30,4.1,,1.7,,6
108,서울,2019-12-01,4.6,3.3,1.6,,9.3
108,서울,2019-12-02,-.1,,3.1,,2.4
108,서울,2019-12-03,.5,.6,1.6,,6.3
108,서울,2019-12-04,2,0,1.8,,1
108,서울,2019-12-05,-4.4,,3.2,,0
108,서울,2019-12-06,-5.9,,1.7,,.6
108,서울,2019-12-07,-2.4,.1,1.7,0,6.6
108,서울,2019-12-08,-.9,,1.4,,1.1
108,서울,2019-12-09,3.2,0,2.5,,7.9
108,서울,2019-12-10,8.1,1.7,1.2,,8.9
108,서울,2019-12-11,6.3,.2,3.4,,5.9
108,서울,2019-12-12,-.7,,1.8,,0
108,서울,2019-12-13,2.1,1,2,,6.8
108,서울,2019-12-14,2.7,0,2.3,,3
108,서울,2019-12-15,5.3,,2,,2.9
108,서울,2019-12-16,7.8,,1.9,,6.1
108,서울,2019-12-17,7.7,9.8,2.3,,8.6
108,서울,2019-12-18,.8,,2.5,,3.5
108,서울,2019-12-19,-.8,0,2.4,,1.8
108,서울,2019-12-20,-1.1,0,2.3,,1.4
108,서울,2019-12-21,-1.2,.6,1.7,,5.5
108,서울,2019-12-22,4.1,.3,1.7,,7.8
108,서울,2019-12-23,3.4,2.9,2,,6.1
108,서울,2019-12-24,.8,,1.4,,.8
108,서울,2019-12-25,2,,1,,5.9
108,서울,2019-12-26,2,.3,2.4,,5.4
108,서울,2019-12-27,-1.7,,2.1,,0
108,서울,2019-12-28,1.1,,2,,3.5
108,서울,2019-12-29,3.8,1.4,2.9,,9
108,서울,2019-12-30,2.7,.4,2.9,,7.5
108,서울,2019-12-31,-7.9,0,3.1,,1.3
